Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
ICMIT 2016	ICMIT	2016	2016 The 3rd International Conference on Manufacturing and Industrial Technologies (ICMIT 2016) 『EI &Scopus.』	Istanbul, Turkey
AIC 2016	AIC	2016	AIC 2016 - 4th International Workshop on Artificial Intelligence and Cognition - July 2016, New York (co-located with IJCAI 16)	New York City
ICDIP 2016	ICDIP	2016	ICDIP 2016 The 8th International Conference on Digital Image Processing--SPIE, EI&Scopus	Chengdu, China
AIVAHC 2016	AIVAHC	2016	Affective Interaction with Virtual Assistants within the Healthcare Context	Cancun, Mexico
SAB 2016	SAB	2016	The 14th International Conference on the Simulation of Adaptive Behavior: From Animals to Animats	Aberystwyth University, Aberystwyth, UK
ICMAS 2016	ICMAS	2016	2016 The 2nd International Conference on Mechatronics and Automation Science (ICMAS 2016) ---EI &Scopus	Istanbul, Turkey
ICIM-Ei 2016	ICIM-Ei	2016	2016 2nd International Conference on Information Management (ICIM 2016)--IEEE,EI	London, UK
MCMC 2016	MCMC	2016	2016 International Conference on Multi-lingual Computer Mediated Communication (MCMC 2016)	Hong Kong
CACS 2016	CACS	2016	Fourth Annual Conference on Advances in Cognitive Systems	Evanston, Illinois
CSMC 2016	CSMC	2016	1st Conference on Computer Simulation of Musical Creativity	Huddersfield
WISA 2016	WISA	2016	8th Workshop on Intelligent Systems and Applications	Gran Canaria, Canary Islands, Spain
PRICAI 2016	PRICAI	2016	The 14th Pacific Rim International Conference on Artificial Intelligence	Phuket, Thailand
AIFZ 2016	AIFZ	2016	Second International Conference on Artificial Intelligence and Fuzzy Logic Systems	Chennai , India
ICRV 2016	ICRV	2016	ICRV 2016 2nd International Conference on Robotics and Vision - Scopus, Ei Compendex	Tokyo, Japan
AI Matters - Mar 2016	AI Matters - Mar	2016	AI Matters: the ACM SIGAI Newsletter — Call for Doctoral Abstracts	N/A
ICIEA-Ei 2016	ICIEA-Ei	2016	EI &Scopus-The 3rd International Conference on Industrial Engineering and Applications (ICIEA 2016)	Hong Kong
UAI 2016	UAI	2016	Conference on Uncertainty in Artificial Intelligence	New York City
IE 2016	IE	2016	12th International Conference on Intelligent Environments	London, UK
IEEE ICCAR 2016	IEEE ICCAR	2016	IEEE 2016 The 2nd International Conference on Control, Automation and Robotics (ICCAR 2016)—Ei Compendex	Hong Kong
IROS 2016	IROS	2016	IEEE/RSJ International Conference on Intelligent Robots and Systems	Daejeon, Korea
IVUS 2016	IVUS	2016	Information Society and University Studies	Kaunas, Lithuania
ICARSC 2016	ICARSC	2016	IEEE International Conference on Autonomous Robot Systems and Competitions	Bragança - Portugal
SWARM 2016	SWARM	2016	Special Issue on Soft Computing Applied to Swarm Robotics	N/A
ASCE-ASME: MRRA 2016	ASCE-ASME: MRRA	2016	ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems - Special Issue on Metaheuristics in Reliability and Risk Analysis	N/A
ICMMME--Ei 2016	ICMMME--Ei	2016	2016 Int. Conf. on Mechanical, Materials, and Manufacturing Engineering (ICMMME 2016)--EI&SCOPUS	Seoul, Korea
AIAPP 2016	AIAPP	2016	Third International Conference on Artificial Intelligence and Applications	Geneva , Switzerland
JFPC 2016	JFPC	2016	Douzièmes Journées Francophones de Programmation par Contraintes	Montpellier, France
ICVR 2016	ICVR	2016	EBSCO--2016 2nd International Conference on Virtual Reality (ICVR2016)	Chengdu, China
PKAW 2016	PKAW	2016	Pacific Rim Knowledge Acquisition Workshop	Phuket, Thailand
COOS 2016	COOS	2016	The 4th International Workshop on Collaborative Online Organizations	Singapore
ICRAI 2016	ICRAI	2016	2016 2nd International Conference on Robotics and Artificial Intelligence (ICRAI 2016)-SCOPUS, Ei Compendex	Los Angeles, USA
ICOAC 2016	ICOAC	2016	ICOAC 2016 2nd International Conference on Automatic Control - SCOPUS, Ei Compendex	Istanbul, Turkey
WEIN 2016	WEIN	2016	The 6th International Workshop on Emergent Intelligence on Networked Agents	Singapore
ICACNI 2016	ICACNI	2016	4th International Conference on Advanced Computing, Networking, and Informatics, Springer	Rourkela, Odisha, India
ICSMA-Ei 2016	ICSMA-Ei	2016	Ei Compendex, Scopus--2016 2nd International Conference on Sensors and Mechanical Automation (ICSMA 2016)	Bali, Indonesia
ICMEA 2016	ICMEA	2016	Ei Compendex & Scopus - 2016 International Conference on Mechatronics Engineering and Automation (ICMEA2016)	Dubai, UAE
ICNME-Ei 2016	ICNME-Ei	2016	Ei Compendex, Scopus--2016 4th International Conference on Nano and Materials Engineering (ICNME 2016)	Bali, Indonesia
ICEET-Ei 2016	ICEET-Ei	2016	2016 4th International Conference on Electronics Engineering and Technology (ICEET 2016) - Ei Compendex, Scopus	Bali, Indonesia
ICEEE-Ei 2016	ICEEE-Ei	2016	SCOPUS, Ei Compendex--2016 3rd International Conference on Electrical and Electronics Engineering (ICEEE 2016)	Istanbul, Turkey
EESMS 2016	EESMS	2016	2016 IEEE Workshop on Environmental, Energy, and Structural Monitoring Systems	Bari, Italy
ICTLE-Ei 2016	ICTLE-Ei	2016	SCOPUS and Ei Compendex - 2016 5th International Conference on Traffic and Logistic Engineering (ICTLE 2016)	Sharjah, UAE
SysInt 2016	SysInt	2016	3rd International Conference on System-Integrated Intelligence: New Challenges for Product and Production Engineering	Paderborn, Germany
ICSIBO 2016	ICSIBO	2016	International Conference on Swarm Intelligence Based Optimization	Mulhouse, France
ICCRE 2016	ICCRE	2016	2016 International Conference on Control and Robotics Engineering (ICCRE 2016)--IEEE, Ei	Singapore
ICMEAE 2016	ICMEAE	2016	2016 3rd International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2016)--Ei Compendex & Scopus	Singapore
IEEE ICCRE 2016	IEEE ICCRE	2016	2016 IEEE International Conference on Control and Robotics Engineering (ICCRE 2016)--Ei	Singapore
IEEE-ICISE 2016	IEEE-ICISE	2016	2016 International Conference on Information Systems Engineering (ICISE 2016) - IEEE Xplore, Ei Compendex	Los Angeles, USA
EXPLORE 2016	EXPLORE	2016	EXPLORE 2016 @ AAMAS 2016: The 3rd Workshop on Exploring Beyond the Worst Case in Computational Social Choice	Singapore
IAC3T 2016	IAC3T	2016	International Conference on Computing, Control and Communication Technology	Allahabad, India
ICIST 2016	ICIST	2016	6th International Conference on Information Systems and Technologies	Barcelona
GECCO 2016	GECCO	2016	The Genetic and Evolutionary Computation Conference	Denver, CO
IJCAI 2016	IJCAI	2016	Twenty-Fifth International Joint Conference on Artificial Intelligence	New York City, US
IVAE 2016	IVAE	2016	1st Workshop on Intelligent Virtual and Augmented Environments	Greenville, South Carolina, USA
ALA 2016	ALA	2016	Adaptive Learning Agents	Singapore
SIoIS 2016	SIoIS	2016	[JoSETAP-SISPress] Special Issues on Information Systems	N/A
Distributed Neural Networks@IJCNN 2016	Distributed Neural Networks@IJCNN	2016	Special Session on Distributed Learning Algorithms for Neural Networks	Vancouver (Canada)
BBC 2016	BBC	2016	9th Workshop on Biomedical and Bioinformatics Challenges for Computer Science - BBC2016	San Diego, CA, USA
WCCI 2016	WCCI	2016	2016 IEEE World Congress on Computational Intelligence	Vancouver, Canada
JCMS 2016	JCMS	2016	Journal of Creative Music Systems - Inaugural Issue	N/A
Summer school 2016	Summer school	2016	Sixth Summer School in Cognitive Science: Reasoning	UQAM, Montreal, Qc. Canada
ICDMM 2016	ICDMM	2016	ICDMM 2016 International Conference on Design, Materials and Manufacturing--SCOPUS & Ei	Kuala Lumpur, Malaysia
PEOCO 2016	PEOCO	2016	2016 10th International Power Engineering and Optimization Conference (PEOCO2016)	Shah Alam, Selangor, Malaysia
ITS 2016	ITS	2016	13th International Conference on Intelligent Tutoring System	Zagreb Croatia
ParLearning 2016	ParLearning	2016	The 5th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Chicago, Illinois, USA
AI 2016	AI	2016	29th Canadian Conference on Artificial Intelligence	Victoria, BC, Canada
ARIA 2016	ARIA	2016	Third International Conference on Artificial Intelligence & Applications	Sydney , Australia
KES-IDT 2016	KES-IDT	2016	8th International KES Conference on Intelligent Decision Technologies	Puerto de la Cruz, Tenerife, Spain
SE4GT'16@ISAmI 2016	SE4GT'16@ISAmI	2016	Workshop on Smart Environments for Gerontechnology and e-Therapy (SE4GT'16)@ISAmI'16	Sevilla, Spain
WOSCIA 2016	WOSCIA	2016	Workshop on Smart Cities and Intelligent Agents	Seville
PCSC 2016	PCSC	2016	Philippine Computing Science Congress	Palawan, Philippines
MLDM 2016	MLDM	2016	Machine Learning and Data Mining in Pattern Recognition	New York, USA
Insight 2016	Insight	2016	Scientific data as viewed from an aesthetic perspective	Klagenfurt, Austria
Cognition and Communication 2016	Cognition and Communication	2016	Chapter Proposals for Cognition and Communication in Extraterrestrial Intelligence	N/A
PAAMS 2016	PAAMS	2016	14th International Conference on Practical Applications of Agents and Multiagent Systems	Seville (Spain)
KES-IDT IS 04	KES-IDT IS	04	Intelligent Data Analysis and Applications	Tenerife, Spain
ICCSA 2016	ICCSA	2016	International Conference on Computer Science's Complex Systems and their Applications	Oum El Bouaghi, Algeria
CIAAL 2015	CIAAL	2015	Computational Intelligence for Ambient Assisted Living	N/A
